date,set_code_name,colors,record,format,link
2/3/22,NEO,BR,7 - 1,Draft,https://www.17lands.com/deck/7289ee63bf494e5f99a75ed7cb2cbd62/2
14/11/21,VOW,WU,7 - 2,Draft,https://www.17lands.com/deck/c60eba35b96f483c9625a9197f51099d/2
22/8/21,IKO,WR,7 - 0,Draft,https://www.17lands.com/deck/e0135bc9d24142c88dff04a218096493/2
18/10/24,DSK,BGr,5 - 3,Draft,https://www.17lands.com/deck/5604986e012f47628550a38e9fc6e062/1
16/10/24,DSK,BRg,3 - 3,Draft,https://www.17lands.com/deck/3e404db70ea642cea3591f9d289c08e2/1
15/10/24,DSK,RG,7 - 2,Draft,https://www.17lands.com/deck/239b882189144e6cb9fca76722220dae/1
10/9/24,AKR,UR,3 - 3,Draft,https://www.17lands.com/deck/acea26fb19394063b9aaec6b7e194a55/1
14/8/24,BLB,BR,5 - 3,Draft,https://www.17lands.com/deck/2728f40daec8401fa1ff186a05099d69/1
22/6/24,OTJ,WGr,7 - 2,Draft,https://www.17lands.com/deck/678eab28da514917a3fdb83446fa1d10/1
26/4/24,OTJ,WGb,6 - 3,Draft,https://www.17lands.com/deck/8bdfc45a3cef4ff4a07e8c29cab16fee/1
20/4/24,OTJ,WG,7 - 2,Draft,https://www.17lands.com/deck/8b4a25114647420fb4f02558b9951260/1
7/3/24,MKM,WUR,1 - 3,Draft,https://www.17lands.com/deck/9327e8c9862a4a36887698229307b641/1
24/2/24,MKM,URwbg,2 - 3,Draft,https://www.17lands.com/deck/2ca4c07ea60243dd85fe8d917494d066/1
9/2/24,MKM,WUG,5 - 3,Draft,https://www.17lands.com/deck/f499f80185a94150be9ca2ce5318828d/1
22/12/23,KTK,WUBRG,1 - 3,Draft,https://www.17lands.com/deck/e4d5f0c3cbc5444ca421b8fd90258d3e/1
29/11/23,LCI,WRg,2 - 3,Draft,https://www.17lands.com/deck/8c2996b09f044dc98e0f9bca858b313d/1
5/5/23,MOM,UB,3 - 3,Draft,https://www.17lands.com/deck/44c8d66b77b24fc193228d42ba1f8400/1
29/4/23,MOM,UGr,6 - 3,Draft,https://www.17lands.com/deck/a57c259ab7f14a92a7fd8af41b23c170/1
23/4/23,MOM,WU,4 - 3,Draft,https://www.17lands.com/deck/086cb1c04e3a46d5afd4e54d9541d7b2/1
22/4/23,MOM,URG,7 - 1,Draft,https://www.17lands.com/deck/fec89297119643889b2d757ce9038f3d/1
22/4/23,MOM,UB,3 - 3,Draft,https://www.17lands.com/deck/d2693bb2af9d426eb5ff3fce7b24a62e/1
20/4/23,MOM,UB,7 - 2,Draft,https://www.17lands.com/deck/74c33b6e9e5a468ab85812e1b6e9b09e/1
3/4/23,SIR,UR,3 - 3,Draft,https://www.17lands.com/deck/7fb3f1badfd1498c9114c1d300bbfb0d/1
1/4/23,SIR,WG,3 - 3,Draft,https://www.17lands.com/deck/7da8f27e619c4816aa73ae717ce9478e/1
16/2/23,ONE,WG,2 - 3,Draft,https://www.17lands.com/deck/343175f6188f48598b4e4f70fb2b58c4/1
10/12/22,BRO,UB,2 - 3,Draft,https://www.17lands.com/deck/99f4520d28294e40bbd9efd7e4ad885a/1
27/10/22,ELD,UR,4 - 3,Draft,https://www.17lands.com/deck/5908223cc1b64b4fa4c7f4435a0ab1c9/1
18/10/22,DMU,WUBG,2 - 3,Draft,https://www.17lands.com/deck/56c8fe95f0684fcaa554462a718418a2/1
19/9/22,DMU,WUbg,1 - 3,Draft,https://www.17lands.com/deck/3b76e4d9d61d4c758b055d00a37ec7cc/1
8/9/22,DMU,UBw,3 - 3,Draft,https://www.17lands.com/deck/b939e0cd1c054d34b866503489803afa/1
6/5/22,SNC,UBR,2 - 3,Draft,https://www.17lands.com/deck/15371aa009e9497eb8a31a0ab3bcacf5/1
30/3/22,NEO,WBG,0 - 3,Draft,https://www.17lands.com/deck/b3c7992c06b04cccbaf536a9ef6d1029/1
25/3/22,NEO,WR,7 - 2,Draft,https://www.17lands.com/deck/dc9b908db99740c791e911179242ecc7/1
9/3/22,NEO,Rug,7 - 2,Draft,https://www.17lands.com/deck/bbbbd90da4b64a9d94fd3a81bf4d0068/1
28/2/22,NEO,WR,4 - 3,Draft,https://www.17lands.com/deck/168920ff418c4ef2b73a6e75bd60749b/1
24/11/21,VOW,UR,2 - 3,Draft,https://www.17lands.com/deck/309ba26eac48454197645272c6eb61ef/1
24/9/21,MID,WB,7 - 1,Draft,https://www.17lands.com/deck/3a953bff597947d3a328ba4c4df0ffea/1
18/8/21,AFR,RG,5 - 3,Draft,https://www.17lands.com/deck/0f3e08f9731f49fc8e1b4111c568c156/1
28/7/21,AFR,WR,1 - 3,Draft,https://www.17lands.com/deck/b52ddbddda7e4dec9ef8697aad32aebd/1
25/7/21,AFR,BG,2 - 3,Draft,https://www.17lands.com/deck/abbd4f7bf5bb438fb3cad51856044629/1
23/7/21,AFR,RGb,4 - 3,Draft,https://www.17lands.com/deck/730b5158aaac427b9a5b02374e89c4f1/1
18/7/21,AFR,UR,2 - 3,Draft,https://www.17lands.com/deck/d33e78317c4a468bb9bfe469480d32fe/1
13/7/21,AFR,UBr,0 - 0,Draft,https://www.17lands.com/deck/dd26b21cc4fe4d6d9e4dcf4135845130/1
11/7/21,AFR,RG,3 - 3,Draft,https://www.17lands.com/deck/ff7c627657424d3ca6e4e684fc9b9d0c/1
5/5/21,STX,URw,5 - 3,Draft,https://www.17lands.com/deck/58637c3fff134ae6bbd06075a9d9b09d/1
2/3/21,KHM,RG,7 - 2,Draft,https://www.17lands.com/deck/4063235d6312429b989c1c27bd33229b/1
25/2/21,KHM,WG,1 - 3,Draft,https://www.17lands.com/deck/9344bf5c7df84b5c890679c1e9d6301e/1
2/11/24,DSK,WU,7 - 2,Draft,https://www.17lands.com/deck/f3ef0e670a4942448a5be383c3397237/0
24/10/24,KHM,WGbr,7 - 0,Draft,https://www.17lands.com/deck/c3b5fefa248e4097bb8dd9c55d820717/0
24/10/24,KHM,UR,2 - 3,Draft,https://www.17lands.com/deck/131e4fae8dfa487fa0107610ec9f27a0/0
21/10/24,DSK,BR,7 - 2,Draft,https://www.17lands.com/deck/ffc772278f824a39bad20014a663c4c0/0
20/10/24,DSK,WR,7 - 2,Draft,https://www.17lands.com/deck/8f9b77f14d604005a5189fa287279f3e/0
19/10/24,DSK,WUb,7 - 2,Draft,https://www.17lands.com/deck/b874c8f5d3744d9897d8f74b33ac7f73/0
18/10/24,DSK,WR,7 - 0,Draft,https://www.17lands.com/deck/e238ac9f7933451d8c031adf7f62e0cf/0
18/10/24,DSK,WR,2 - 3,Draft,https://www.17lands.com/deck/4e913ebc663d4daeb986142801104319/0
16/10/24,DSK,WR,4 - 3,Draft,https://www.17lands.com/deck/7c7a124e413842a289d21e7551a3dc63/0
14/10/24,DSK,RG,3 - 3,Draft,https://www.17lands.com/deck/0fad0f980f32432c8293622feeefb51c/0
13/10/24,DSK,BR,7 - 1,Draft,https://www.17lands.com/deck/ec5e04b1118e4dccb3e2ea32f91d04e6/0
2/10/24,DSK,BR,1 - 3,Draft,https://www.17lands.com/deck/176ab7d01d31401ebae8f66c6f269e37/0
1/10/24,DSK,WGb,1 - 3,Draft,https://www.17lands.com/deck/f40e56ba2b3447c48bd35741f38313b8/0
30/9/24,DSK,WB,4 - 3,Draft,https://www.17lands.com/deck/94c3072c115e49909d62c8463d425c44/0
28/9/24,DSK,RGb,5 - 3,Draft,https://www.17lands.com/deck/20555e90d7ec44ae849b131cb23da181/0
27/9/24,DSK,BG,3 - 3,Draft,https://www.17lands.com/deck/ccb1a1372a91492597464296a4636f94/0
27/9/24,DSK,RGb,5 - 3,Draft,https://www.17lands.com/deck/8e363eda2c4c449992bd2a499fdc401a/0
27/9/24,DSK,UGr,0 - 3,Draft,https://www.17lands.com/deck/4aaeca9d61cf414eaee132b849b9f368/0
27/9/24,DSK,WB,1 - 3,Draft,https://www.17lands.com/deck/6b8bb19111bd4c82a9bb53ad3236d07a/0
27/9/24,DSK,WU,1 - 3,Draft,https://www.17lands.com/deck/ded8fa284f264432b231325291fc144c/0
26/9/24,DSK,UR,4 - 3,Draft,https://www.17lands.com/deck/214f4a363a004889b49736f09f4ba483/0
25/9/24,DSK,WUr,2 - 3,Draft,https://www.17lands.com/deck/9bad3245da094946b8ad66cd9d3debc9/0
25/9/24,DSK,BG,0 - 3,Draft,https://www.17lands.com/deck/ece20754aebf40bfa0b425cd59cb1260/0
25/9/24,DSK,RG,2 - 3,Draft,https://www.17lands.com/deck/360b484357534478beba21c4010decb6/0
22/9/24,ZNR,WB,7 - 2,Draft,https://www.17lands.com/deck/26f3097ed9d743bf8df465c20beb3a67/0
21/9/24,ZNR,UR,5 - 3,Draft,https://www.17lands.com/deck/5965b568bc044e1c91c175c8e4dbfaab/0
21/9/24,ZNR,BR,2 - 3,Draft,https://www.17lands.com/deck/4e6b90cbc64e45e38c0ced446deb5619/0
20/9/24,ZNR,BR,6 - 3,Draft,https://www.17lands.com/deck/4625c9631af04aa3b6a029b263de7ddd/0
19/9/24,ZNR,UR,4 - 3,Draft,https://www.17lands.com/deck/8b490cdbbe1a481c919eaba4d5f40d3e/0
19/9/24,ZNR,WB,1 - 3,Draft,https://www.17lands.com/deck/05c6766765d848ffbdf58ce0b7733d49/0
18/9/24,ZNR,WR,7 - 1,Draft,https://www.17lands.com/deck/e1d0c10a8e3d44ebbdb6a154a0a73e65/0
18/9/24,ZNR,UB,6 - 3,Draft,https://www.17lands.com/deck/85b82c9d032148e193414d755bc0aa70/0
17/9/24,AKR,UR,6 - 3,Draft,https://www.17lands.com/deck/a3854ecfa7e04862b28b023a7726ea73/0
15/9/24,BLB,UG,3 - 3,Draft,https://www.17lands.com/deck/77c0df7cbb8b4ae8b718b25359648a50/0
14/9/24,BLB,WBug,5 - 3,Draft,https://www.17lands.com/deck/ddc64843b2be463c9b3dbf28e51087ef/0
13/9/24,AKR,WR,7 - 1,Draft,https://www.17lands.com/deck/cc51e43817f14e5f8cccf9ffe7a8798f/0
11/9/24,AKR,URb,2 - 3,Draft,https://www.17lands.com/deck/716ef5e419c7489891be74a9494900d4/0
11/9/24,AKR,WR,7 - 2,Draft,https://www.17lands.com/deck/63a9577701d74d25b0ede3ba63065db8/0
11/9/24,AKR,WB,1 - 3,Draft,https://www.17lands.com/deck/0d94d99c70b8411c9085fc542ba3d27c/0
9/9/24,DMU,WR,7 - 0,Draft,https://www.17lands.com/deck/7146560de9424bce82a87082d8e8500d/0
5/9/24,BLB,BG,2 - 3,Draft,https://www.17lands.com/deck/cf49d1b1a9fd43ca84b048a038d9afbe/0
3/9/24,BLB,WB,1 - 3,Draft,https://www.17lands.com/deck/39cd46493b5944228d05bdd53c397aff/0
2/9/24,BLB,BGwr,7 - 2,Draft,https://www.17lands.com/deck/079d06058364450cb567987282cb1af3/0
28/8/24,BLB,BG,4 - 3,Draft,https://www.17lands.com/deck/86fe456475884f54906655dc30eebd6c/0
16/8/24,BLB,WR,4 - 3,Draft,https://www.17lands.com/deck/fd40e0f9c42c43f0b698b0e2bb3a1d31/0
14/8/24,BLB,RGb,5 - 3,Draft,https://www.17lands.com/deck/b0477071e03b49b59a20a1d0c7ea78ad/0
13/8/24,BLB,WB,5 - 3,Draft,https://www.17lands.com/deck/140b3a112a91490880c055666ad6741e/0
9/8/24,BLB,RG,7 - 2,Draft,https://www.17lands.com/deck/9187229331d2413cb8eb52ad4cfe6d6f/0
8/8/24,BLB,BG,2 - 3,Draft,https://www.17lands.com/deck/a5c451f5c78d44c8a2240d83bae289bc/0
6/8/24,BLB,WB,7 - 2,Draft,https://www.17lands.com/deck/e84039e960a343b68c40517191bd502d/0
6/8/24,BLB,WB,4 - 3,Draft,https://www.17lands.com/deck/2991182284f944a883e0b43d3a8df3d0/0
3/8/24,BLB,WUG,6 - 3,Draft,https://www.17lands.com/deck/e827ab943c6c4f6cb36c79867f78c1db/0
2/8/24,BLB,WGu,4 - 3,Draft,https://www.17lands.com/deck/87c51a6ae03048ab89389e9c3c63f798/0
16/7/24,OTJ,WG,4 - 3,Draft,https://www.17lands.com/deck/994014a338b340d9aa43f4a031f92684/0
11/7/24,WOE,BGw,1 - 3,Draft,https://www.17lands.com/deck/eadde5f009e5478db5fa227ee50e5607/0
31/5/24,OTJ,BGw,7 - 2,Draft,https://www.17lands.com/deck/31ef355e161f477a82f3b5ce512549f2/0
18/5/24,THB,WB,7 - 1,Draft,https://www.17lands.com/deck/4430558029bc404aaa9db748cd92cc58/0
14/5/24,OTJ,UB,3 - 3,Draft,https://www.17lands.com/deck/5865d46b9aef44c39b7285ec608ad89b/0
5/5/24,OTJ,BGu,5 - 3,Draft,https://www.17lands.com/deck/5265655e86d34da4874624cf9f9b7f76/0
1/5/24,OTJ,BG,1 - 3,Draft,https://www.17lands.com/deck/73ec16c55d644267aadba21cd597b726/0
27/4/24,OTJ,BGw,4 - 3,Draft,https://www.17lands.com/deck/f0a7a909ac0d42bebc9aff4012a097c8/0
24/4/24,OTJ,WRG,3 - 3,Draft,https://www.17lands.com/deck/c0a546534bf14c1e8d37d394879a5857/0
18/4/24,OTJ,BRG,7 - 1,Draft,https://www.17lands.com/deck/c88b81833a35405fa21ce93f0adc5083/0
30/3/24,RAVM,UGb,4 - 3,Draft,https://www.17lands.com/deck/000e43cca69249ae87d2179699c01dcf/0
27/3/24,MKM,WRGu,4 - 3,Draft,https://www.17lands.com/deck/d786cea14a714ee98314df44a241b75f/0
27/3/24,MKM,UR,2 - 3,Draft,https://www.17lands.com/deck/f5aa7044232649d7a0f6470ef17980c0/0
20/3/24,MKM,UR,2 - 3,Draft,https://www.17lands.com/deck/aa9af0bdb5894234a358364a12823b8d/0
12/3/24,MKM,RGwub,4 - 3,Draft,https://www.17lands.com/deck/91805f6e00e24cbaa216cdaa602ad5ac/0
12/3/24,MKM,UBG,7 - 1,Draft,https://www.17lands.com/deck/9dbab3135a95417f8bd7c874e11e4f46/0
8/3/24,MKM,WG,5 - 3,Draft,https://www.17lands.com/deck/08024f65f6fc402099631efad44aa03c/0
7/3/24,MKM,URG,2 - 3,Draft,https://www.17lands.com/deck/03a29c1ec2e943c99c9e0c0a75157443/0
1/3/24,MKM,UB,4 - 3,Draft,https://www.17lands.com/deck/5fcedccacd6948d2a11da73f6dcd2b67/0
1/3/24,MKM,BG,4 - 3,Draft,https://www.17lands.com/deck/88b169f992644119a03076ee60ac1072/0
29/2/24,MKM,URG,2 - 3,Draft,https://www.17lands.com/deck/16f53f053d094a33b2f00f6a9e4276d4/0
27/2/24,MKM,RGw,7 - 0,Draft,https://www.17lands.com/deck/c8554720e8af4f60b6b9a5830a312f45/0
22/2/24,MKM,WUGbr,5 - 3,Draft,https://www.17lands.com/deck/17715e84eec54dbd99256bf424f4477f/0
20/2/24,MKM,UGwb,4 - 3,Draft,https://www.17lands.com/deck/584f325eae0f424e9c4827d0a1517dad/0
14/2/24,MKM,WU,7 - 2,Draft,https://www.17lands.com/deck/b416fa6385e345c9ab5a2063e1908f8a/0
12/2/24,MKM,WR,2 - 3,Draft,https://www.17lands.com/deck/1e9b53b6fb584165b902b879bef40142/0
12/2/24,MKM,URGb,7 - 2,Draft,https://www.17lands.com/deck/ed0ba0bf08254fbea2cd8e322c3dfdee/0
10/2/24,MKM,BG,6 - 3,Draft,https://www.17lands.com/deck/f39106f756784fd3abf80e0e00463c98/0
7/2/24,MKM,BR,1 - 3,Draft,https://www.17lands.com/deck/fae128ccf0ae4a8883108da10fde0018/0
7/2/24,MKM,UG,3 - 3,Draft,https://www.17lands.com/deck/3f303f012a2947bb87de9ec6c5839a12/0
7/2/24,MKM,UB,1 - 3,Draft,https://www.17lands.com/deck/819c36556fe24183a9a0442bf17241ed/0
18/1/24,LCI,WU,1 - 3,Draft,https://www.17lands.com/deck/d62ebd3e82054a249558f35722cce53a/0
20/12/23,KTK,UBG,4 - 3,Draft,https://www.17lands.com/deck/43a8068f109f443399c51120351aff6f/0
18/12/23,KTK,URGwb,7 - 1,Draft,https://www.17lands.com/deck/d2e6934bddb64eca83e4d28419be87f5/0
18/12/23,KTK,WBG,4 - 3,Draft,https://www.17lands.com/deck/11500b8d9f09489a82d9f7d1d9b5a388/0
14/12/23,KTK,UBG,2 - 3,Draft,https://www.17lands.com/deck/eecab03592524195ab0396c754c902c5/0
12/12/23,KTK,WBGur,7 - 2,Draft,https://www.17lands.com/deck/822371cd1c76467a9e0baa01ddf6a950/0
9/12/23,LCI,WU,1 - 3,Draft,https://www.17lands.com/deck/5e2bf7411fa04d83a5065abb213039ae/0
7/12/23,LCI,WU,6 - 3,Draft,https://www.17lands.com/deck/17cb7c263b1c41c3a56c145c0b75d211/0
2/12/23,LCI,WU,2 - 3,Draft,https://www.17lands.com/deck/83eaf97a2fda4991820a328dcaaed5ff/0
1/12/23,LCI,UR,2 - 3,Draft,https://www.17lands.com/deck/e3bad432c0574f34a27437900800cf6d/0
29/11/23,LCI,WB,7 - 1,Draft,https://www.17lands.com/deck/dda0bb59cc1241ebab16149635d2e51b/0
29/11/23,LCI,UR,4 - 3,Draft,https://www.17lands.com/deck/72426d56af8645bfa604459b0a38cec9/0
29/11/23,LCI,UB,3 - 3,Draft,https://www.17lands.com/deck/1a527be432be4d3caed3ce3a11d960d8/0
28/11/23,LCI,UGr,5 - 3,Draft,https://www.17lands.com/deck/be785176cb7145ea9b01c11b5af4f0ff/0
28/11/23,LCI,WR,2 - 3,Draft,https://www.17lands.com/deck/e474c600003b43bc9e1d35e3ef6c7ee1/0
28/11/23,LCI,BR,3 - 3,Draft,https://www.17lands.com/deck/188e73758e374c8e83f7d75b78be3f97/0
28/11/23,LCI,UR,4 - 3,Draft,https://www.17lands.com/deck/3eac4f4b55164a019931d0cca8a380aa/0
27/11/23,LCI,UR,3 - 3,Draft,https://www.17lands.com/deck/1c0a6744953241c5b88e99181fd67f28/0
26/11/23,LCI,WU,4 - 3,Draft,https://www.17lands.com/deck/86f649e4e82d477f86e5816389409c9e/0
26/11/23,LCI,WG,1 - 3,Draft,https://www.17lands.com/deck/42db8e2e23c64a13a60fa66020a0ff60/0
24/11/23,LCI,WB,5 - 3,Draft,https://www.17lands.com/deck/ee5b45885f7a4af0be7defdad161e680/0
24/11/23,LCI,WB,4 - 3,Draft,https://www.17lands.com/deck/7c81bc18deb94b0da3070c2def711411/0
24/11/23,LCI,WU,3 - 3,Draft,https://www.17lands.com/deck/0ff92d70c8ae42d784146e621978ac40/0
24/11/23,LCI,WRg,1 - 3,Draft,https://www.17lands.com/deck/4db5220efcae4d4ca5a55236b7cc06d5/0
23/11/23,LCI,UB,7 - 0,Draft,https://www.17lands.com/deck/482ad7966cbf460b9375184c097233c6/0
22/11/23,LCI,UR,7 - 2,Draft,https://www.17lands.com/deck/f0b4c711a1dc47d8a97bfbab473de7b4/0
21/11/23,LCI,UR,5 - 3,Draft,https://www.17lands.com/deck/bf5d5b7ef7194c5fb5b60cd11aac9c4e/0
21/11/23,LCI,BR,4 - 3,Draft,https://www.17lands.com/deck/803b99ecb6704e8993946408d4152e10/0
19/11/23,LCI,Br,5 - 3,Draft,https://www.17lands.com/deck/55d43d1b68a14c02a79a2d22c8b9cbe7/0
18/11/23,LCI,UG,7 - 1,Draft,https://www.17lands.com/deck/19d2e7041e2c478ca3c0a5f7e8688edb/0
17/11/23,LCI,UR,6 - 3,Draft,https://www.17lands.com/deck/1c7243f8efda4bafafcb03625a84d83c/0
17/11/23,LCI,BR,1 - 3,Draft,https://www.17lands.com/deck/01a4c83f0d504ada9826bd895c6c9df2/0
17/11/23,LCI,WB,2 - 3,Draft,https://www.17lands.com/deck/5f370e5853d14056875dcddb32f96635/0
16/11/23,LCI,RG,6 - 3,Draft,https://www.17lands.com/deck/33687b2dbf1f448d82e5c4c99f1eab22/0
16/11/23,LCI,WB,5 - 3,Draft,https://www.17lands.com/deck/bfb4670633224b4aa68efe553ccf9dae/0
15/11/23,LCI,BG,6 - 3,Draft,https://www.17lands.com/deck/630871fa163b4bcbb21991f015e6e39d/0
15/11/23,LCI,UR,4 - 3,Draft,https://www.17lands.com/deck/a782233928754f06a7a12aadb4771e0e/0
8/11/23,WOE,WR,5 - 3,Draft,https://www.17lands.com/deck/599ec6ca1a934b44a084826fe55a6f2e/0
25/10/23,WOE,UB,2 - 3,Draft,https://www.17lands.com/deck/753b5eda4078467787135540d9725aef/0
18/10/23,SIR,WB,7 - 1,Draft,https://www.17lands.com/deck/33c527d6c9c24e4e9a5783572f5b0b28/0
22/9/23,WOE,BGr,3 - 3,Draft,https://www.17lands.com/deck/b1591b550c5d4e25904dbe53dc2cdb55/0
16/9/23,WOE,WR,1 - 3,Draft,https://www.17lands.com/deck/97008281e5af453fa960d2aaad076334/0
13/9/23,WOE,WR,1 - 3,Draft,https://www.17lands.com/deck/0bfe587f80e04db181aa04dbadb64289/0
13/9/23,WOE,BR,0 - 3,Draft,https://www.17lands.com/deck/3d76dd6469114a1aa2df64480e4fd4e9/0
9/9/23,WOE,WGb,3 - 3,Draft,https://www.17lands.com/deck/d9f358a4aff746fa9af9852dd1f702c4/0
8/9/23,WOE,WU,1 - 3,Draft,https://www.17lands.com/deck/7fb9d73bbee4431c981a8efc8d126132/0
8/9/23,WOE,BR,3 - 3,Draft,https://www.17lands.com/deck/a9ba6c20815848efb80fd125bd37e3db/0
15/8/23,ELD,UB,1 - 3,Draft,https://www.17lands.com/deck/ea97260d96734bf38071aaab3aa54705/0
12/8/23,Chaos,BGu,2 - 3,Draft,https://www.17lands.com/deck/69bacfa952564018a8764fa42f2f4b68/0
10/8/23,Chaos,URw,0 - 3,Draft,https://www.17lands.com/deck/94907b777a1d4815a924f9650f54959f/0
7/8/23,Chaos,BG,7 - 1,Draft,https://www.17lands.com/deck/a151dcf2a47743e88807f626f1315243/0
6/8/23,Chaos,WG,2 - 3,Draft,https://www.17lands.com/deck/2052d37e6ace4aa2811629ca9e758e7e/0
6/8/23,Chaos,WU,7 - 2,Draft,https://www.17lands.com/deck/7a789465c21e40baaa46d6baf2daed5f/0
