date,set_code_name,colors,record,format,link
6/8/23,Chaos,UGb,1 - 3,Draft,https://www.17lands.com/deck/888c46fac17c4b39a2d0a30888bb0048/0
6/8/23,Chaos,BGw,0 - 3,Draft,https://www.17lands.com/deck/1d28ecee1982428d8eae4a9ae1cad4dc/0
5/8/23,Chaos,UBwr,5 - 3,Draft,https://www.17lands.com/deck/b6515f663150459392a5909b80662233/0
1/8/23,BRO,BG,1 - 3,Draft,https://www.17lands.com/deck/9d165391ab1c416fa989864be5b0fe18/0
22/7/23,NEO,WUG,7 - 1,Draft,https://www.17lands.com/deck/8561f19095134981be0a901bb5164572/0
19/7/23,NEO,UB,3 - 3,Draft,https://www.17lands.com/deck/cfc6e4a6efcc4aa1a8733ade67956ea1/0
19/7/23,NEO,WG,2 - 3,Draft,https://www.17lands.com/deck/943aee82bd6b4ded81ed1f58474e1548/0
18/7/23,NEO,UR,7 - 1,Draft,https://www.17lands.com/deck/3cb6a41c81314c1a9a01acc35296501b/0
16/7/23,NEO,UGr,4 - 3,Draft,https://www.17lands.com/deck/afb6a440c67142ee9fdc0c712bb7d43e/0
10/6/23,MOM,UBG,4 - 3,Draft,https://www.17lands.com/deck/831186021d4f42c79f74e9e4f2aa825f/0
7/6/23,MOM,WU,3 - 3,Draft,https://www.17lands.com/deck/56f5001f19c14624b5711d576bff89c5/0
2/6/23,MOM,UBg,7 - 2,Draft,https://www.17lands.com/deck/28708ff9f8624430a01452b3a4dc9c69/0
1/6/23,MOM,BGu,7 - 2,Draft,https://www.17lands.com/deck/08790977589d4c999d5fb7498ca6a072/0
24/5/23,MOM,WGb,1 - 3,Draft,https://www.17lands.com/deck/b3b3ba9559bd4a71bd4101296bd9c66e/0
18/5/23,MOM,UG,4 - 3,Draft,https://www.17lands.com/deck/2cae3c11a72a4e69b3f146430b42ef45/0
15/5/23,MOM,UB,7 - 0,Draft,https://www.17lands.com/deck/d9f59caba75f4b75af92aad8cb8841f5/0
13/5/23,MOM,WU,7 - 2,Draft,https://www.17lands.com/deck/7ba9b452c9834f1694cc87667ffb241c/0
13/5/23,MOM,UG,7 - 2,Draft,https://www.17lands.com/deck/e576354371d94b7d8c31ea7b5ed00c91/0
11/5/23,MOM,WU,7 - 2,Draft,https://www.17lands.com/deck/4cf8899f410641a5b88d4e48b014e49c/0
11/5/23,MOM,UR,2 - 3,Draft,https://www.17lands.com/deck/6f5092879661433294ede43095750752/0
8/5/23,MOM,BGw,7 - 2,Draft,https://www.17lands.com/deck/9397a2784c8348d8bc85deaf894da2e5/0
6/5/23,MOM,RGu,4 - 3,Draft,https://www.17lands.com/deck/8a2d6b9659394874b25add18dd2b2177/0
6/5/23,MOM,WBG,2 - 3,Draft,https://www.17lands.com/deck/17b0600b83ff42a4a4a951b9ed1b1b73/0
28/4/23,MOM,UB,3 - 3,Draft,https://www.17lands.com/deck/f5c89f7144214358a4c9e01b4925a679/0
25/4/23,MOM,WU,7 - 1,Draft,https://www.17lands.com/deck/1e312666262a43f5b2d61da6ca1a85f2/0
25/4/23,MOM,UGb,2 - 3,Draft,https://www.17lands.com/deck/5ffe19f3f1624879b32b7b5d0bec3a22/0
24/4/23,MOM,BG,7 - 1,Draft,https://www.17lands.com/deck/0972f3070b2e42c2898e1ab624b00e0f/0
24/4/23,MOM,BG,2 - 3,Draft,https://www.17lands.com/deck/5c0602f775034fe4b158798a0ad8cd1f/0
24/4/23,MOM,UB,1 - 3,Draft,https://www.17lands.com/deck/8edfbf01aa2f4329827e1a27c7acd83d/0
22/4/23,MOM,UBR,1 - 3,Draft,https://www.17lands.com/deck/c0fbd94493964cb4b1faa73a8565dc93/0
21/4/23,MOM,WBu,4 - 3,Draft,https://www.17lands.com/deck/0a9da385ed1d431f962c85acc5c27b7a/0
23/3/23,SIR,RG,7 - 2,Draft,https://www.17lands.com/deck/cf0069ae36e447a99b7a2c7698ab84a5/0
13/3/23,STX,BG,3 - 3,Draft,https://www.17lands.com/deck/9fbc05eff18e4abdb8b2f0f8c7750e49/0
3/3/23,ONE,WR,3 - 3,Draft,https://www.17lands.com/deck/1c4790b36f064c468f18b59c064665ae/0
9/2/23,ONE,WR,5 - 3,Draft,https://www.17lands.com/deck/d71adc5db8744752b63af6c029077901/0
8/2/23,ONE,BG,4 - 3,Draft,https://www.17lands.com/deck/fa5ae89db8e14be583be5eb5bc4b51af/0
6/2/23,NEO,URb,5 - 3,Draft,https://www.17lands.com/deck/5cfc42d3d0354309b292b4cdedad14c7/0
5/2/23,NEO,BR,1 - 3,Draft,https://www.17lands.com/deck/565ded326e0240338f629a27288dce28/0
4/2/23,NEO,WG,2 - 3,Draft,https://www.17lands.com/deck/7e3e473b42b94293a3ba806ef5fcc85d/0
4/2/23,NEO,WGr,6 - 3,Draft,https://www.17lands.com/deck/61929488a3ce418fadd4b3abfdc621f1/0
3/2/23,NEO,WG,6 - 3,Draft,https://www.17lands.com/deck/594f3045140c4711a10275acfbdca4c9/0
3/2/23,NEO,BR,4 - 3,Draft,https://www.17lands.com/deck/8ac4027a71124a7ca3db949152a4eb52/0
27/1/23,KHM,BGu,3 - 3,Draft,https://www.17lands.com/deck/52d8c8e759784aad9fd04ea79ee3310d/0
4/1/23,BRO,WB,7 - 0,Draft,https://www.17lands.com/deck/3f658ed24a0d4f1bab28f6cbb543c567/0
29/12/22,BRO,UR,7 - 1,Draft,https://www.17lands.com/deck/dcefdc238e344258b20d1b1d6afb3032/0
27/12/22,BRO,WU,7 - 1,Draft,https://www.17lands.com/deck/1d2039f9617b42a1abeef51370f6c959/0
25/12/22,BRO,BG,4 - 3,Draft,https://www.17lands.com/deck/b4a58ed66d074bc6b86543db5baa3ecd/0
23/12/22,BRO,WR,1 - 3,Draft,https://www.17lands.com/deck/f6e04e769604448cae9909dd1d867aad/0
23/12/22,BRO,WU,3 - 3,Draft,https://www.17lands.com/deck/977ed861042844aab36c95ed7dcfa8dd/0
22/12/22,BRO,WR,5 - 3,Draft,https://www.17lands.com/deck/faf5a7016e9646429db0e1e5a0110ed3/0
19/12/22,BRO,UR,3 - 3,Draft,https://www.17lands.com/deck/6c69aea7e97840dcb03128e5b0c82ce3/0
18/12/22,BRO,WB,3 - 3,Draft,https://www.17lands.com/deck/df0321c170b34ef596c02fb0c2dc23b2/0
17/12/22,BRO,RG,3 - 3,Draft,https://www.17lands.com/deck/2251e104ac2647d1a219da09073e242b/0
15/12/22,BRO,BG,5 - 3,Draft,https://www.17lands.com/deck/28162473303b4324b36ec65f0b089ebb/0
9/12/22,BRO,WB,4 - 3,Draft,https://www.17lands.com/deck/ff1e1c9890be4f3c9e563d3daae7383d/0
9/12/22,BRO,UR,2 - 3,Draft,https://www.17lands.com/deck/83b7419045994fd6b304905de3599085/0
8/12/22,BRO,WR,4 - 3,Draft,https://www.17lands.com/deck/3d767b235b1446fd84052a1e2e2749f4/0
6/12/22,BRO,UR,7 - 2,Draft,https://www.17lands.com/deck/d9314e5afaae4ca6897be669faabb2a5/0
5/12/22,BRO,UB,1 - 3,Draft,https://www.17lands.com/deck/aa13532508ec493d9995f3285692702a/0
3/11/22,DMU,WUG,2 - 3,Draft,https://www.17lands.com/deck/14ea341190de4acb9a16f222fb2c1ad9/0
23/10/22,DMU,RGwb,2 - 2,Draft,https://www.17lands.com/deck/5bcb82989f6a47608316f58bda8253e4/0
14/10/22,DMU,UBGw,1 - 3,Draft,https://www.17lands.com/deck/967d15c28d8e446d8482a146c5e43066/0
14/10/22,DMU,WRG,1 - 3,Draft,https://www.17lands.com/deck/21468ab87abd4fbeaf99867e612ad04f/0
10/10/22,DMU,WB,4 - 3,Draft,https://www.17lands.com/deck/ec328e9587ee40dd95b530ee19f442c5/0
7/10/22,DMU,WUrg,7 - 1,Draft,https://www.17lands.com/deck/c69ceb53c38c4c0e881e44000f0eb7cf/0
4/10/22,DMU,UR,2 - 3,Draft,https://www.17lands.com/deck/387540ffe94c44b780e065aae2b861e2/0
4/10/22,DMU,WRGub,1 - 3,Draft,https://www.17lands.com/deck/b848f1a683134ddab3e0d03e19c91a46/0
2/10/22,DMU,UR,4 - 3,Draft,https://www.17lands.com/deck/e2972e4d85854ec486b767611d141c1b/0
28/9/22,DMU,WBGur,0 - 3,Draft,https://www.17lands.com/deck/678a8702f57b4c0db5fd6e91a03e1b04/0
27/9/22,DMU,RGwub,2 - 3,Draft,https://www.17lands.com/deck/8e23c70343f24efd81c6a202d4f3d26f/0
26/9/22,DMU,WB,5 - 3,Draft,https://www.17lands.com/deck/a5d7626c5d5a4f28862c0be71691a7aa/0
24/9/22,DMU,WRg,5 - 3,Draft,https://www.17lands.com/deck/6e8bac1cc8f34b7ebd91e1d3abc37cd5/0
24/9/22,DMU,UGbr,4 - 3,Draft,https://www.17lands.com/deck/8c0bc6efa0f148dc9f945e0ddad2c938/0
23/9/22,DMU,WR,3 - 3,Draft,https://www.17lands.com/deck/10d8f24e92dc45c2aed0c39588d90593/0
21/9/22,DMU,URwb,2 - 3,Draft,https://www.17lands.com/deck/2de39c5aa2704ff7b678bfcf6d4e84cb/0
21/9/22,DMU,WBGr,0 - 3,Draft,https://www.17lands.com/deck/ee8fa43026504c06be22d7f3964a0eaf/0
19/9/22,DMU,WUGr,7 - 2,Draft,https://www.17lands.com/deck/a6ebcdf182784be1b108bb2ae6ac1d8e/0
16/9/22,DMU,UBG,7 - 2,Draft,https://www.17lands.com/deck/5265bb5ab05b499ab81826ed6c35a1f9/0
15/9/22,DMU,WBGu,1 - 3,Draft,https://www.17lands.com/deck/c786ba7679854ccfac7f8c7c2bba346e/0
13/9/22,DMU,URb,1 - 0,Draft,https://www.17lands.com/deck/43eb8e1068274f328d4f55fac78f0d94/0
11/9/22,DMU,BRGu,7 - 2,Draft,https://www.17lands.com/deck/5f5b8c1b221e48b5830ebcde9aeddf69/0
9/9/22,DMU,WRg,2 - 3,Draft,https://www.17lands.com/deck/643ba31fd520466dac78885b4987171e/0
8/9/22,DMU,UBg,5 - 3,Draft,https://www.17lands.com/deck/ed1b907f729c4f4398b682a3148d68b5/0
5/9/22,DMU,WUBGr,6 - 3,Draft,https://www.17lands.com/deck/555a104e9e994c3185a872841ede7cd9/0
5/9/22,DMU,BGwu,3 - 3,Draft,https://www.17lands.com/deck/b74b5e8fb7034e92b988c5030e5b378c/0
31/8/22,AKR,UR,7 - 0,Draft,https://www.17lands.com/deck/4fe3a8fdf5804534a30b2e2b7b7fc42e/0
23/6/22,THB,BG,6 - 3,Draft,https://www.17lands.com/deck/80334aa90ae842e1b1f7516d64914643/0
19/6/22,THB,RG,4 - 3,Draft,https://www.17lands.com/deck/4d0a0aab5de84d2b9dc4b04a278daa87/0
28/5/22,SNC,RGwb,2 - 3,Draft,https://www.17lands.com/deck/ccd1874ed03040cd8597c380d1a327a8/0
20/5/22,SNC,WUBg,1 - 1,Draft,https://www.17lands.com/deck/a8c1188de3984a45a516d726a4686085/0
20/5/22,SNC,WUBg,0 - 0,Draft,https://www.17lands.com/deck/11c9628fed5f4bce818b1108cecf436a/0
18/5/22,SNC,UBR,2 - 3,Draft,https://www.17lands.com/deck/b54256b541ac4cb7849137326027e4bb/0
18/5/22,SNC,UBR,0 - 0,Draft,https://www.17lands.com/deck/b16306a65c5b4194b3d7cdbbadd3bbab/0
15/5/22,SNC,WUGb,6 - 3,Draft,https://www.17lands.com/deck/0638c1905fef47da9ddeec676a0ec730/0
12/5/22,SNC,WUBRG,7 - 0,Draft,https://www.17lands.com/deck/d455f01b143c47eba831c360cc1447a1/0
7/5/22,SNC,BRGw,7 - 2,Draft,https://www.17lands.com/deck/d0ad4330d49e47758c2784cbe6271db2/0
5/5/22,SNC,WUB,5 - 3,Draft,https://www.17lands.com/deck/40ccc0ecc77c466c9b94457efdb6a0fa/0
4/5/22,SNC,BRG,7 - 2,Draft,https://www.17lands.com/deck/b6d956607ef14b9da18c912fdd5b85a6/0
13/4/22,NEO,URb,4 - 3,Draft,https://www.17lands.com/deck/1d7f4d2bf4264f8fa49156cbdbb64241/0
8/4/22,NEO,BRu,7 - 1,Draft,https://www.17lands.com/deck/2c2c129eaf424987a5a598cca4d6253b/0
8/4/22,DOM,Gur,3 - 3,Draft,https://www.17lands.com/deck/1f7fabd6d2d74ac29af731ddd1556814/0
7/4/22,DOM,WR,3 - 3,Draft,https://www.17lands.com/deck/18e9e80e83f5457f8f9f78077cb6178b/0
29/3/22,NEO,BG,2 - 3,Draft,https://www.17lands.com/deck/b7268ff434a34a28949ae7ab8cafb6f4/0
29/3/22,NEO,BG,0 - 3,Draft,https://www.17lands.com/deck/42a624132ff741f4a8e83e4c30473f2b/0
29/3/22,NEO,WGr,0 - 3,Draft,https://www.17lands.com/deck/b6846266f4764fc1b2fdafca2145b537/0
29/3/22,NEO,WG,3 - 3,Draft,https://www.17lands.com/deck/572aa80c4dde4e4794679ef655bf8ce2/0
29/3/22,NEO,URb,5 - 3,Draft,https://www.17lands.com/deck/f7ea0c39e0b44a2aa2f699d3341fe230/0
28/3/22,NEO,WB,5 - 3,Draft,https://www.17lands.com/deck/b7ed129826494f528421a1465fdc6f75/0
26/3/22,NEO,WB,6 - 3,Draft,https://www.17lands.com/deck/5324c7d0735a4dd1bf10ee0cb76ecb58/0
26/3/22,NEO,UBw,2 - 3,Draft,https://www.17lands.com/deck/f1b4706db67441eeb09d88ced620fc8d/0
12/3/22,NEO,UBr,4 - 2,Draft,https://www.17lands.com/deck/5af98093d35649bba8b66b029c819637/0
11/3/22,NEO,UG,5 - 3,Draft,https://www.17lands.com/deck/8a6270ec59f6446983ce0ac10b0a61e6/0
11/3/22,NEO,WG,1 - 3,Draft,https://www.17lands.com/deck/47e85d75568447cabcbfc186497dca66/0
8/3/22,NEO,UGr,1 - 3,Draft,https://www.17lands.com/deck/7c2ba24204d2470d808a0c9b20aa79e8/0
7/3/22,NEO,RG,5 - 3,Draft,https://www.17lands.com/deck/77754de55c94495aaa084a8e6a96906a/0
4/3/22,NEO,WR,6 - 3,Draft,https://www.17lands.com/deck/2744672dde3f44679c20440f7816267e/0
3/3/22,NEO,WBu,5 - 3,Draft,https://www.17lands.com/deck/c33ab6206e8b44b7a1bf648cc4c74dc6/0
20/2/22,NEO,BG,0 - 3,Draft,https://www.17lands.com/deck/4823434fdb6d44a6a039d55539df7180/0
18/2/22,NEO,BR,6 - 3,Draft,https://www.17lands.com/deck/0bd09482aebe4a47b726901a8ea7ba68/0
14/2/22,NEO,WUb,7 - 2,Draft,https://www.17lands.com/deck/ef75ea73834d46af8ac0995bc033d0fc/0
1/12/21,VOW,BR,5 - 3,Draft,https://www.17lands.com/deck/5550f8ea9b2d434e86ceb3892e1b9df3/0
29/11/21,VOW,RG,1 - 3,Draft,https://www.17lands.com/deck/52deb1a1ef8344dc9454810aee5c93f2/0
24/11/21,VOW,UB,3 - 3,Draft,https://www.17lands.com/deck/eba01d438f2b42caa83815ada1c158f9/0
23/11/21,VOW,WG,1 - 3,Draft,https://www.17lands.com/deck/208b3f6b3347402fb8ccbf1ed9ee7731/0
21/11/21,VOW,WB,4 - 3,Draft,https://www.17lands.com/deck/0fa3803e893c463aaba88d9ed5f6030f/0
17/11/21,VOW,UGr,5 - 3,Draft,https://www.17lands.com/deck/9ce6b0dee60548f1b7b0c9970b1b3590/0
24/9/21,MID,BR,1 - 3,Draft,https://www.17lands.com/deck/2a22c74aa8f94bc8b7197806835af103/0
24/9/21,MID,WG,3 - 3,Draft,https://www.17lands.com/deck/399091db6b5d42479c883d83460b6b09/0
5/9/21,AFR,BR,5 - 3,Draft,https://www.17lands.com/deck/2c6e2398bb444c2483fefa6a79befdea/0
17/8/21,KLR,UGw,7 - 2,Draft,https://www.17lands.com/deck/3578d834f5c748ff9813826b0cb56b48/0
15/8/21,AFR,WB,5 - 3,Draft,https://www.17lands.com/deck/b5a4fdf3d590483dba9190962bcd3595/0
11/8/21,AKR,UB,2 - 3,Draft,https://www.17lands.com/deck/1807d08282004b59968cbc4b10675cb9/0
6/8/21,AFR,BG,3 - 3,Draft,https://www.17lands.com/deck/b784ff2aa8a24f899f2372ece8f3abc1/0
30/7/21,AFR,UB,7 - 2,Draft,https://www.17lands.com/deck/0d380243aa264f5cb804f142a850bd11/0
25/7/21,AFR,UB,2 - 3,Draft,https://www.17lands.com/deck/7d048dcf5b1044419f66a97fa674ded7/0
23/7/21,AFR,RG,3 - 3,Draft,https://www.17lands.com/deck/4dc38a705be44470a96f51edb9f4ccc3/0
20/7/21,AFR,BR,3 - 3,Draft,https://www.17lands.com/deck/f5bf4a2c43f7434bad4bfa8dec6e5e27/0
10/7/21,AFR,WG,7 - 2,Draft,https://www.17lands.com/deck/222024d6c0a94b58b8848233fbd8e9be/0
16/5/21,STX,WBr,4 - 3,Draft,https://www.17lands.com/deck/dc097dd68bca4c1883340fb5d5467da0/0
5/5/21,STX,UGr,1 - 3,Draft,https://www.17lands.com/deck/6298c28cd45f49a39c492010317551e3/0
1/5/21,STX,UG,3 - 3,Draft,https://www.17lands.com/deck/da63e11aa2c246bc9bfb38c1746bc93a/0
20/4/21,STX,WB,7 - 0,Draft,https://www.17lands.com/deck/d1499a6c8b0d464ca7f839921a8b4d4e/0
17/4/21,STX,UR,4 - 3,Draft,https://www.17lands.com/deck/7db928b45a654abc8e7eb8cb335d8226/0
19/3/21,KHM,UGb,7 - 1,Draft,https://www.17lands.com/deck/46e950e8487a45b58480498a33f7fbdf/0
17/3/21,KHM,BG,1 - 3,Draft,https://www.17lands.com/deck/09ecc7628f8e49f2a7a6cd6ac966caed/0
16/3/21,KHM,UR,1 - 3,Draft,https://www.17lands.com/deck/8dd070538c6d4db38cd0c294e59a2c71/0
15/3/21,KHM,WG,6 - 3,Draft,https://www.17lands.com/deck/6abc94b997a14a1cb4953c4d650166a3/0
14/3/21,KHM,WRg,3 - 3,Draft,https://www.17lands.com/deck/66e5fb7547fe49f6b40c44c879bc3f60/0
9/3/21,KHM,BGr,0 - 3,Draft,https://www.17lands.com/deck/e9e1ae484ac141aebca57f5e65e220b9/0
4/3/21,KHM,BGw,4 - 3,Draft,https://www.17lands.com/deck/71783299cc594aa8ac2ac614ca3c2ef6/0
27/2/21,KHM,BGr,7 - 2,Draft,https://www.17lands.com/deck/cc4c14b880ba4a1b9da34646c968a04e/0
26/2/21,KHM,RGb,7 - 1,Draft,https://www.17lands.com/deck/9354495bb2254b0e878fb23e7739453e/0
24/2/21,KHM,RG,5 - 3,Draft,https://www.17lands.com/deck/d2657647ca074341893911e3bee00723/0
24/2/21,KHM,UGw,3 - 3,Draft,https://www.17lands.com/deck/52b0657bd9274918b9044454c98f4ef8/0
19/2/21,KHM,WGr,5 - 3,Draft,https://www.17lands.com/deck/846c6462ec1d4a3eabf1144dbf017306/0
19/2/21,KHM,UBR,1 - 3,Draft,https://www.17lands.com/deck/9f14fce2e5f8429892e50e17e8e865d4/0
18/2/21,KHM,WG,7 - 1,Draft,https://www.17lands.com/deck/58addac52c4c489181a91295b52cb136/0
2/9/24,BLB,WR,1 - 2,Draft,https://www.17lands.com/deck/8b6ae87d27184cb380141f1266009b93/0
1/9/24,BLB,UR,2 - 3,Draft,https://www.17lands.com/deck/8b6ae87d27184cb380141f1266009b93/0
1/5/24,OTJ,WG,2 - 3,Draft,https://www.17lands.com/deck/b058bc021daf41c99dedbdae329bed44/0
21/4/23,MOM,BG,3 - 3,Draft,https://www.17lands.com/deck/3b85769cb7d446c5a8bb08481b3a0049/0
4/5/22,SNC,WUG,2 - 3,Draft,https://www.17lands.com/deck/e873eb5aa278409b8a7f0f554bb35ae0/0
24/3/22,NEO,UB,7 - 1,Draft,https://www.17lands.com/deck/b9e85c902cb04dbf91bed723b5d0a296/0
18/3/22,NEO,Gbr,2 - 1,Draft,https://www.17lands.com/deck/f4d23070a0264be0b658b06d66a1ad42/0
20/12/21,VOW,WB,7 - 2,Draft,https://www.17lands.com/deck/703980e4f3ef403fa32f0ee9b9273219/0
15/7/21,AFR,WB,3 - 3,Draft,https://www.17lands.com/deck/18e11896fdc44ca0b62a04950ff75535/0
20/4/21,STX,WB,2 - 3,Draft,https://www.17lands.com/deck/9a7fa2b9f4b948699bbc52170f0e4325/0
13/3/21,KHM,UR,6 - 3,Draft,https://www.17lands.com/deck/8d0bd7be7bfd4432ae634f7be75a1553/0
12/2/22,NEO,UG,0 - 3,Sealed,https://www.17lands.com/deck/4587863840bb4e73ba76908f11259ee3/3
16/9/21,MID,BR,7 - 2,Sealed,https://www.17lands.com/deck/34fe49ee14a14c69b9cb8bab2ab708db/2
22/3/23,SIR,WRu,3 - 3,Sealed,https://www.17lands.com/deck/d34022921d5b4c909370619180fa94e8/1
24/9/24,DSK,WG,3 - 3,Sealed,https://www.17lands.com/deck/c25a9d2bbf0144e88e5cd817558db6a5/0
30/7/24,BLB,WBu,1 - 3,Sealed,https://www.17lands.com/deck/a3bbfcf21130412aa95022aa451e0ee7/0
14/6/24,MH3,URG,4 - 3,Sealed,https://www.17lands.com/deck/bbb8c42b92c9404dafc5fcdf8495e035/0
26/2/24,MKM,WURg,1 - 3,Sealed,https://www.17lands.com/deck/c8d657be77944fe2b88ba7f8c9557d84/0
22/2/24,MKM,WUrg,7 - 2,Sealed,https://www.17lands.com/deck/6681a5fa2ebf457784d04349b7495915/0
14/11/23,LCI,BR,3 - 3,Sealed,https://www.17lands.com/deck/08767afcb96d4ccbbcacf533a63923e5/0
1/9/22,DMU,WGub,2 - 3,Sealed,https://www.17lands.com/deck/554c328ed2284c6699cf68177680458f/0
1/9/22,DMU,UGwbr,2 - 3,Sealed,https://www.17lands.com/deck/2cc75d10df664f0e9ad0a3969ff1d266/0
11/2/22,NEO,BG,1 - 3,Sealed,https://www.17lands.com/deck/18756b33635d45758b479337049ea099/0
12/11/21,VOW,WBr,5 - 3,Sealed,https://www.17lands.com/deck/a1b02b33545d4b13b4573b5bd3e824f0/0
9/7/21,AFR,WG,4 - 3,Sealed,https://www.17lands.com/deck/d8fcbfb91e7244ecbe7d8dcd6bd56ab6/0
8/7/21,AFR,BGu,4 - 3,Sealed,https://www.17lands.com/deck/c392d7d8c0914e5daea1b3538da4a3c2/0
15/4/21,STX,WR,0 - 3,Sealed,https://www.17lands.com/deck/a703c8c06e634ddbb9272237f1b086ad/0
15/4/21,STX,URGw,1 - 3,Sealed,https://www.17lands.com/deck/bccb579041504b2aa8027a00f16b75e3/0