set_code_name,format,date,wins,losses,ties,colors,splash,platform,link
KTK,Draft,4/1/15,3,0,0,WBR,,paper,https://photos.google.com/photo/AF1QipPxXtmzR5kiZXaxs4vB9cZXdb2PxV_rSXgBIf5r
FRF,Draft,29/3/15,2,1,0,WR,,paper,https://photos.google.com/photo/AF1QipPhsXMg3xmZzD3rR-LoNaBLeU3bL5ElzF9mkRoP
DTK,Draft,13/4/15,3,0,0,WG,,paper,https://www.tumblr.com/obsidiantide/116296894033/i-drafted-this-baby-last-week-at-a-draft-that?source=share
DTK,Draft,10/5/15,3,0,0,BR,,paper,https://photos.google.com/photo/AF1QipPlIJDx-sMuN4JBmfU5j-dbqoy612xwTyoBPFDX
ORI,Draft,23/6/15,2,1,0,WB,,paper,https://www.tumblr.com/obsidiantide/124831491233/ok-i-decided-ill-upload-all-my-draft-decks-here?source=share
ORI,Draft,19/7/15,3,0,0,WU,,paper,https://photos.google.com/photo/AF1QipO2VbULqJEiKqO-JJQni1WQPm4aa_iJDKicoqOQ
MM2,Draft,25/7/15,2,1,0,WR,,paper,https://www.tumblr.com/obsidiantide/124993778378/drafted-this-at-mm2-ghost-draft-just-now-was-ok?source=share
ORI,Draft,31/7/15,1,2,0,WR,,paper,https://www.tumblr.com/obsidiantide/125526503328/ok-so-i-just-drafted-this-at-an-fnm-in-barcelona?source=share
ORI,Draft,11/8/15,3,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/126422976103/took-me-a-while-to-upload-this-because-the-tumblr?source=share
ORI,Draft,16/8/15,3,0,0,BR,W,paper,https://www.tumblr.com/obsidiantide/126810865443/from-a-draft-at-a-friends-house-yesterday-the?source=share
ORI,Draft,17/8/15,3,0,0,B,,paper,https://www.tumblr.com/obsidiantide/126893839528/fresh-from-yesterday-my-first-monocolor-draft?source=share
ORI,Draft,24/8/15,3,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/127463269523/this-was-far-from-perfect-but-boy-this-was-fun?source=share
ORI,Draft,7/9/15,3,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/128536436453/im-not-addicted-i-can-stop-anytime-i-want?source=share
ORI,Draft,16/9/15,3,0,0,WR,,paper,https://www.tumblr.com/obsidiantide/129201231023/drafted-this-baby-last-sunday-right-before-rosh?source=share
ORI,Draft,17/9/15,3,0,0,RG,,paper,https://www.tumblr.com/obsidiantide/129270408513/a-tad-later-than-promised-but-heres-my-deck-from?source=share
ORI,Draft,22/9/15,2,1,0,BG,,paper,https://www.tumblr.com/obsidiantide/129652037423/ok-im-pretty-sure-this-is-the-worst-deck-i?source=share
BFZ,Sealed,26/9/15,3,2,0,BG,,paper,https://www.tumblr.com/obsidiantide/129968387498/my-deck-from-the-prerelease-went-3-2-in-my?source=share
BFZ,Draft,27/9/15,2,1,0,UG,,paper,https://www.tumblr.com/obsidiantide/129999691388/first-bfz-draft-i-started-with-off-with-the-p1p1?source=share
BFZ,Two-Headed Giant,1/10/15,4,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/130258702553/if-anyone-wonders-how-you-win-a-game-on-turn-5-in?source=share
BFZ,Draft,6/10/15,0,3,0,UG,,paper,https://www.tumblr.com/obsidiantide/130607147653/this-draft-was-stupid-with-the-lack-of-better?source=share
BFZ,Draft,12/10/15,1,2,0,BR,U,paper,https://www.tumblr.com/obsidiantide/131013020298/upside-down-draft-time-flipping-the-picture?source=share
BFZ,Draft,27/10/15,2,1,0,WR,,paper,https://www.tumblr.com/obsidiantide/132013981868/so-i-finally-managed-to-get-a-not-miserable-draft?source=share
BFZ,Draft,8/11/15,2,1,0,WB,U,paper,https://www.tumblr.com/obsidiantide/132787246988/sorry-for-the-delay-heres-my-draft-from-last?source=share
BFZ,Draft,9/11/15,2,1,0,WU,R,paper,https://www.tumblr.com/obsidiantide/132866684713/presenting-from-last-night-as-of-last-week?source=share
BFZ,Draft,17/11/15,2,1,0,UR,,paper,https://www.tumblr.com/obsidiantide/133404164853/sideways-draft-time-this-sunday-was-a-blast-i?source=share
BFZ,Draft,23/11/15,2,1,0,UG,,paper,https://www.tumblr.com/obsidiantide/133787124318/since-i-couldnt-draft-this-sunday-i-arranged-a?source=share
BFZ,Draft,30/11/15,2,1,0,RG,,paper,https://www.tumblr.com/obsidiantide/134254622803/deck-from-yesterdays-draft-as-usual-for-this?source=share
BFZ,Draft,9/12/15,3,0,0,UB,,paper,https://www.tumblr.com/obsidiantide/134856244073/this-strange-brew-won-my-draft-last-sunday?source=share
BFZ,Draft,16/12/15,1,2,0,WR,,paper,https://www.tumblr.com/obsidiantide/135316047928/so-this-draft-wasnt-very-good-finished-1-2-i?source=share
BFZ,Draft,23/12/15,2,1,0,RG,U,paper,https://www.tumblr.com/obsidiantide/135769207778/now-this-was-fun-the-blur-splash-worked-very?source=share
BFZ,Draft,28/12/15,2,1,0,WU,,paper,https://www.tumblr.com/obsidiantide/136104205893/this-is-possibly-the-worst-deck-i-have-ever?source=share
BFZ,Draft,3/1/16,2,1,0,UB,,paper,https://www.tumblr.com/obsidiantide/136539058668/so-i-got-to-draft-this-friday-this-deck-looks?source=share
BFZ,Draft,6/1/16,3,0,0,WB,U,paper,https://www.tumblr.com/obsidiantide/136737003533/for-my-last-bfz-draft-i-did-something-stupid-or?source=share
ORI,Team Sealed,13/1/16,3,0,0,BR,,paper,https://www.tumblr.com/obsidiantide/137209380028/my-deck-from-the-ori-team-sealed-we-did-this?source=share
OGW,Sealed,16/1/16,5,0,0,UB,,paper,https://www.tumblr.com/obsidiantide/137433139593/my-deck-from-the-ogw-prerelease-this-deck-was?source=share
OGW,Draft,20/1/16,1,2,0,UR,,paper,https://www.tumblr.com/obsidiantide/137684589993/so-for-the-first-ogw-draft-i-built-this-pile-of?source=share
OGW,Draft,27/1/16,1,1,1,WB,U,paper,https://www.tumblr.com/obsidiantide/138142556458/last-sunday-i-tried-playing-control-again-it?source=share
OGW,Two-Headed Giant,31/1/16,3,1,0,WB,,paper,https://www.tumblr.com/obsidiantide/138403757833/me-and-my-friends-decks-from-a-2hg-tournament?source=share
OGW,Draft,3/2/16,0,3,0,WR,,paper,https://www.tumblr.com/obsidiantide/138597022508/looks-good-right-ill-tell-you-how-this-went?source=share
OGW,Draft,8/2/16,3,0,0,WR,,paper,https://www.tumblr.com/obsidiantide/138915637133/did-you-ever-draft-upside-down-sorry-my-camera?source=share
OGW,Draft,22/2/16,3,0,0,WR,,paper,https://www.tumblr.com/obsidiantide/139776629958/last-week-i-saw-deadpool-on-sunday-its-just-as?source=share
OGW,Draft,23/2/16,3,0,0,WR,,paper,https://www.tumblr.com/obsidiantide/139842870838/ok-i-swear-i-didnt-want-to-play-rw-again-i?source=share
OGW,Draft,1/3/16,3,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/140265957048/follow-your-heart-and-your-draws-will-follow-i?source=share
MMA,Draft,6/3/16,2,1,0,WUBRG,,paper,https://www.tumblr.com/obsidiantide/140626272378/what-youre-seeing-here-is-the-mma-draft-we-did?source=share
OGW,Draft,7/3/16,2,1,0,WG,,paper,https://www.tumblr.com/obsidiantide/140622739843/my-deck-from-yesterdays-draft-i-kinda-forced?source=share
OGW,Draft,15/3/16,3,0,0,BR,,paper,https://www.tumblr.com/obsidiantide/141088531323/sundays-draft-deck-boy-was-this-fun-this-sort?source=share
OGW,Draft,28/3/16,0,3,0,WG,,paper,https://www.tumblr.com/obsidiantide/141890631973/this-may-very-well-be-the-documentation-of-the?source=share
OGW,Draft,29/3/16,2,1,0,UB,R,paper,https://www.tumblr.com/obsidiantide/141891308358/for-the-final-draft-of-this-format-i-had-fun-i?source=share
SOI,Sealed,3/4/16,4,1,0,BG,R,paper,https://www.tumblr.com/obsidiantide/142174136358/my-deck-from-the-first-soi-prerelease-went-4-1?source=share
SOI,Sealed,6/4/16,2,1,1,UB,,paper,https://www.tumblr.com/obsidiantide/142346477598/my-deck-from-sundays-prerelease-you-might-say?source=share
SOI,Draft,15/4/16,3,0,0,BR,,paper,https://www.tumblr.com/obsidiantide/142779663848/drafted-twice-this-tuesday-the-br-deck-was-for?source=share
SOI,Draft,16/4/16,2,1,0,UB,,paper,https://www.tumblr.com/obsidiantide/142779663848/drafted-twice-this-tuesday-the-br-deck-was-for?source=share
SOI,Draft,26/4/16,2,1,0,WG,,paper,https://www.tumblr.com/obsidiantide/143420996603/my-latest-draft-deck-i-finally-got-to-play-white?source=share
SOI,Draft,4/5/16,2,1,0,UR,B,paper,https://www.tumblr.com/obsidiantide/143830902083/again-with-this-color-combination-this-draft-was?source=share
SOI,Draft,10/5/16,2,1,0,WR,,paper,https://www.tumblr.com/obsidiantide/144148490828/my-deck-from-last-sunday-2-1-losing-only-to?source=share
SOI,Draft,29/5/16,2,1,0,UG,B,paper,https://www.tumblr.com/obsidiantide/145087099128/this-was-so-much-fun-a-deck-full-of-bombs-with?source=share
SOI,Draft,14/6/16,3,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/145908183073/this-deck-was-great-i-got-the-startled-awake-on?source=share
SOI,Draft,23/6/16,1,2,0,BR,,paper,https://www.tumblr.com/obsidiantide/146346727768/from-sundays-draft-i-played-the-br-deck-0-2-1?source=share
SOI,Draft,6/7/16,0,3,0,WU,,paper,https://www.tumblr.com/obsidiantide/146985076363/this-deck-really-could-have-been-fun-i-had-5?source=share
SOI,Draft,13/7/16,2,1,0,BR,,paper,https://www.tumblr.com/obsidiantide/147331839773/my-last-soi-draft-deck-no-the-50-nis-bill-was?source=share
EMN,Sealed,18/7/16,5,0,0,WU,,paper,https://www.tumblr.com/obsidiantide/147585528978/i-won-the-saturday-prerelease-this-deck-was?source=share
EMN,Sealed,20/7/16,4,0,0,WB,,paper,https://www.tumblr.com/obsidiantide/147739836578/aaand-i-won-the-sunday-prerelease-as-well-some?source=share
EMN,Two-Headed Giant,21/7/16,5,0,0,UR,U,paper,https://www.tumblr.com/obsidiantide/147747412368/im-on-a-roll-won-the-2hg-prerelease-yesterday-as?source=share
EMN,Two-Headed Giant,29/7/16,4,0,0,BG,,paper,https://www.tumblr.com/obsidiantide/148142114713/this-is-getting-slightly-ridiculous-i-won-another?source=share
EMN,Draft,4/8/16,3,0,0,BR,,paper,https://www.tumblr.com/obsidiantide/148435141243/3-0-beat-arnon120-and-his-liliana-at-the?source=share
EMN,Draft,7/8/16,2,1,0,UB,,paper,https://www.tumblr.com/obsidiantide/148579784063/i-am-dethroned-2-1-lost-at-the-finals-to?source=share
EMN,Draft,3/9/16,2,1,0,BG,,paper,https://www.tumblr.com/obsidiantide/149899178493/two-drafts-in-one-night-both-were-2-1-power?source=share
EMN,Draft,4/9/16,2,1,0,WG,,paper,https://www.tumblr.com/obsidiantide/149899178493/two-drafts-in-one-night-both-were-2-1-power?source=share
EMN,Draft,5/9/16,2,1,0,BG,,paper,https://photos.google.com/photo/AF1QipM6pgsCb_yM75ViK4zDFgD5E6pqmrbptxCKphrr
EMN,Draft,11/9/16,3,0,0,UR,,paper,https://photos.google.com/photo/AF1QipP5W1olf2Gb4UQqi7KB9WShHkSJ1B_BWLd_md7y
EMN,Draft,15/9/16,3,0,0,BR,,paper,https://photos.google.com/photo/AF1QipNBow-cuQt_z1M33HRYQssW4hv5wdtKGb72ho1P
KLD,Sealed,2/10/16,5,1,0,UB,,paper,https://photos.google.com/photo/AF1QipM1PZYPiwvEm-we1k-JYLUvxzPvfOoXs7Wxy1Cm
KLD,Sealed,9/10/16,4,0,0,UR,,paper,https://photos.google.com/photo/AF1QipOHIBtXgngEBo1u5BhWit2Os_KoEbWWCMzVgnc3
KLD,Draft,23/10/16,2,1,0,WR,,paper,https://photos.google.com/photo/AF1QipOyJ-G8nIKaAgej3kr4W-osDJzAvO7UwhyUQmAr
KLD,Draft,6/11/16,2,1,0,WR,,paper,https://photos.google.com/photo/AF1QipNS_uOTGrktJ24w9QAwqOWvYkzk9SROn1mD5TLT
KLD,Draft,4/12/16,3,0,0,UB,,paper,https://photos.google.com/photo/AF1QipOgeI2Y1AFoKzDkO057zYq1odE71n8_IRda9GkE
AER,Sealed,22/1/17,2,1,1,BR,U,paper,https://photos.google.com/photo/AF1QipO8pn7x9Ki16ZBNiRnlFuHD91WTIbscYdeiJl-S
AKH,Draft,3/5/17,2,1,0,UB,,paper,https://www.instagram.com/p/BTnkPfxlmzi/
AKH,Draft,8/5/17,1,1,1,UB,,paper,https://www.instagram.com/p/BT0oBUXFbi2/
AKH,Draft,17/5/17,1,1,1,BG,,paper,https://www.instagram.com/p/BUMNYF-FJm0/
AKH,Draft,23/5/17,3,0,0,BR,,paper,https://www.instagram.com/p/BUb9RsEFG9S/
THS,Draft,5/6/17,2,1,0,WU,,paper,https://www.instagram.com/p/BU87o4jFEdL/
AKH,Draft,7/6/17,3,0,0,WB,,paper,https://www.instagram.com/p/BVCRAl6FmPF/
AKH,Draft,13/6/17,2,1,0,WR,,paper,https://www.instagram.com/p/BVR8e65FYjF/
AKH,Draft,23/6/17,3,0,0,WB,,paper,https://www.instagram.com/p/BVr6-PJlyz2/
MM3,Draft,26/6/17,3,0,0,UR,B,paper,https://www.instagram.com/p/BVzQT5xFrEH/
HOU,Sealed,10/7/17,2,1,0,BG,,paper,https://www.instagram.com/p/BWXTyrfFBsy/
HOU,Sealed,11/7/17,3,0,0,WB,,paper,https://www.instagram.com/p/BWZ3LcoF9R7/
HOU,Sealed,12/7/17,3,0,0,BG,R,paper,https://www.instagram.com/p/BWcGlAtlXOv/
HOU,Draft,5/8/17,3,0,0,WU,,paper,https://www.instagram.com/p/BXZ3ftNlJL3/
HOU,Draft,4/9/17,2,1,0,RG,,paper,https://www.instagram.com/p/BYndaDOlhKm/
HOU,Draft,12/9/17,2,0,1,UB,,paper,https://www.instagram.com/p/BY8K827la8T/
HOU,Draft,17/9/17,2,1,0,WU,,paper,https://www.instagram.com/p/BZJuii0FGfJ/
HOU,Draft,19/9/17,2,1,0,UB,,paper,https://www.instagram.com/p/BZMzZOTFDjl/
XLN,Sealed,26/9/17,3,0,0,WG,,paper,https://www.instagram.com/p/BZf16anFBHJ/
XLN,Sealed,27/9/17,4,1,0,RG,,paper,https://www.instagram.com/p/BZg18hBFXYY/
XLN,Sealed,30/9/17,4,0,0,UB,,paper,https://www.instagram.com/p/BZrUgG9Fjak/
CN2,Draft,2/10/17,1,2,0,WR,,paper,https://www.instagram.com/p/BZwKViaF6-r/
XLN,Draft,9/10/17,1,2,0,BG,,paper,https://www.instagram.com/p/BaBrGwylMlV/
XLN,Draft,26/10/17,2,1,0,UG,,paper,https://www.instagram.com/p/BatEHFEFcQY/
XLN,Draft,30/10/17,3,0,0,WB,,paper,https://www.instagram.com/p/Ba34zWblyGD/
XLN,Draft,7/11/17,3,0,0,RG,,paper,https://www.instagram.com/p/BbMSdHUlqan/
XLN,Draft,22/11/17,3,0,0,UG,,paper,https://www.instagram.com/p/Bbyxix8FpzS/
XLN,Draft,5/12/17,3,0,0,UR,,paper,https://www.instagram.com/p/BcUUqz6FK1W/
UST,Sealed,14/12/17,2,0,0,WG,B,paper,https://www.instagram.com/p/Bcrl7Wqlk-a/
XLN,Draft,27/12/17,1,2,0,WB,,paper,https://www.instagram.com/p/BdM3B2vFioZ/
EMN,Draft,11/1/18,2,1,0,WR,,paper,https://www.instagram.com/p/Bd0JxKAl8GQ/
RIX,Sealed,17/1/18,2,1,0,RG,U,paper,https://www.instagram.com/p/BeC4HZMFhMG/
RIX,Sealed,18/1/18,5,0,0,WB,,paper,https://www.instagram.com/p/BeFikmUl74w/
RIX,Sealed,20/1/18,3,1,0,WR,,paper,https://www.instagram.com/p/BeKrZ6glwwf/
RIX,Draft,8/2/18,2,1,0,WR,,paper,https://www.instagram.com/p/Be8sV2lFfSJ/
RIX,Draft,21/2/18,1,2,0,UB,G,paper,https://www.instagram.com/p/BfdICU-F2sq/
RIX,Team Sealed,24/2/18,1,2,0,RG,B,paper,https://www.instagram.com/p/Bfl4Cydl94c/
RIX,Draft,1/3/18,2,1,0,BG,,paper,https://www.instagram.com/p/BfylnEmlg5w/
RIX,Draft,5/3/18,1,2,0,UB,,paper,https://www.instagram.com/p/Bf-p3wqFW5-/
RIX,Draft,6/3/18,2,1,0,WG,B,paper,https://www.instagram.com/p/Bf_nSEtFx7R/
RIX,Team Sealed,26/3/18,3,0,0,WB,,paper,https://www.instagram.com/p/Bgxo1UMlpBv/
RIX,Team Sealed,31/3/18,6,2,0,UB,,paper,https://www.instagram.com/p/BhBFSQ9FDnY/
RIX,Team Sealed,1/4/18,5,1,0,BG,,paper,https://www.instagram.com/p/BhRVj5YAXrp/
A25,Sealed,16/4/18,3,0,0,UB,R,paper,https://www.instagram.com/p/BhoF5R9h6Lx/
DOM,Sealed,23/4/18,2,1,0,WU,B,paper,https://www.instagram.com/p/Bh7JT-WhXDg/
DOM,Sealed,25/4/18,3,2,0,RG,,paper,https://www.instagram.com/p/BiBwztbhlS4/
DOM,Sealed,26/4/18,2,1,1,BG,R,paper,https://www.instagram.com/p/BiDLNAgB08S/
DOM,Draft,2/5/18,1,2,0,RG,W,paper,https://www.instagram.com/p/BiRTuqjhy3J/
DOM,Draft,14/5/18,2,1,0,WB,,paper,https://www.instagram.com/p/BiwC3OlBprh/
DOM,Draft,2/6/18,2,1,0,BG,,paper,https://www.instagram.com/p/BjhoAyDhklR/
DOM,Draft,5/6/18,2,1,0,WB,,paper,https://www.instagram.com/p/Bjor48uhw5V/
DOM,Draft,11/6/18,2,1,0,WB,R,paper,https://www.instagram.com/p/Bj4DUSUhE74/
DOM,Draft,23/6/18,2,1,0,BG,,paper,https://www.instagram.com/p/BkX4tAzBA_1/
DOM,Draft,4/7/18,2,1,0,WU,,paper,https://www.instagram.com/p/BkzTXpGhxNg/
M19,Sealed,14/7/18,3,0,0,BR,,paper,https://www.instagram.com/p/BlOt7grBqzG/
M19,Sealed,16/7/18,2,2,0,WU,,paper,https://www.instagram.com/p/BlSRcYXBm7P/
M19,Draft,20/7/18,2,1,0,RG,,paper,https://www.instagram.com/p/BldfmLTBUB5/
M19,Draft,23/7/18,3,0,0,RG,W,paper,https://www.instagram.com/p/Bll9IuGhk72/
M19,Draft,30/7/18,1,2,0,RW,,paper,https://www.instagram.com/p/Bl3rJBNBC1V/
M19,Draft,5/8/18,2,1,0,RG,,paper,https://www.instagram.com/p/BmFnZuVBVrh/
M19,Draft,6/8/18,2,1,0,RW,,paper,https://www.instagram.com/p/BmJijL4hKA-/
M19,Draft,11/8/18,2,1,0,WB,,paper,https://www.instagram.com/p/BmVVONdhyp7/
M19,Draft,16/8/18,1,1,1,UB,G,paper,https://www.instagram.com/p/Bmh5H_ShAwf/
M19,Draft,23/8/18,2,1,0,RW,,paper,https://www.instagram.com/p/Bm0JYY7h0ID/
M19,Draft,2/10/18,2,1,0,UB,,paper,https://www.instagram.com/p/Bob6kNmh35i/
GRN,Sealed,11/10/18,6,0,0,UB,,paper,https://www.instagram.com/p/BozoFgyhTDV/
GRN,Sealed,21/10/18,1,2,0,WR,,paper,https://www.instagram.com/p/BpMhPlVBeqq/
GRN,Draft,24/10/18,3,0,0,UBG,,paper,https://www.instagram.com/p/BpTzLVDBQYw/
GRN,Draft,29/10/18,2,1,0,UB,R,paper,https://www.instagram.com/p/BpgktLYhqHL/
GRN,Draft,13/11/18,2,1,0,UB,,paper,https://www.instagram.com/p/BqHUOFWgbeb/
GRN,Draft,4/12/18,2,1,0,BG,W,paper,https://www.instagram.com/p/Bq-ZxGjAeVR/
GRN,Draft,11/12/18,2,1,0,WG,,paper,https://www.instagram.com/p/BrPbH5UgVba/
GRN,Draft,7/1/19,2,1,0,UR,W,paper,https://www.instagram.com/p/BsVh1OPAk-L/
RNA,Sealed,23/1/19,3,1,0,BRG,,paper,https://www.instagram.com/p/Bs-PscygA6r/
RNA,Draft,5/2/19,3,0,0,RG,B,paper,https://www.instagram.com/p/BtiZ0U6gNsR/
